[2025-05-15 09:18:23] 127.0.0.1 requested http://info.cern.ch/
[2025-05-15 09:18:54] 127.0.0.1 requested merino.services.mozilla.com:443
[2025-05-15 09:18:54] 127.0.0.1 requested merino.services.mozilla.com:443
[2025-05-15 09:18:54] 127.0.0.1 requested merino.services.mozilla.com:443
[2025-05-15 09:18:54] 127.0.0.1 requested merino.services.mozilla.com:443
[2025-05-15 09:19:02] 127.0.0.1 requested http://httpbin.org/html
[2025-05-15 09:19:03] 127.0.0.1 requested http://httpbin.org/favicon.ico
[2025-05-15 09:19:14] 127.0.0.1 requested firefox-settings-attachments.cdn.mozilla.net:443
[2025-05-15 09:19:14] 127.0.0.1 requested firefox-settings-attachments.cdn.mozilla.net:443
[2025-05-15 09:19:14] 127.0.0.1 requested img-getpocket.cdn.mozilla.net:443
[2025-05-15 09:19:14] 127.0.0.1 requested img-getpocket.cdn.mozilla.net:443
[2025-05-15 09:19:14] 127.0.0.1 requested img-getpocket.cdn.mozilla.net:443
[2025-05-15 09:19:14] 127.0.0.1 requested img-getpocket.cdn.mozilla.net:443
[2025-05-15 09:19:14] 127.0.0.1 requested img-getpocket.cdn.mozilla.net:443
[2025-05-15 09:19:14] 127.0.0.1 requested img-getpocket.cdn.mozilla.net:443
[2025-05-15 09:19:15] 127.0.0.1 requested www.google.com:443
[2025-05-15 09:19:15] 127.0.0.1 requested www.google.com:443
[2025-05-15 09:19:15] 127.0.0.1 requested www.google.com:443
[2025-05-15 09:19:18] 127.0.0.1 requested www.google.com:443
[2025-05-15 09:19:18] 127.0.0.1 requested img-getpocket.cdn.mozilla.net:443
[2025-05-15 09:19:18] 127.0.0.1 requested img-getpocket.cdn.mozilla.net:443
[2025-05-15 09:19:18] 127.0.0.1 requested www.google.com:443
[2025-05-15 09:19:18] 127.0.0.1 requested www.google.com:443
[2025-05-15 09:19:19] 127.0.0.1 requested img-getpocket.cdn.mozilla.net:443
[2025-05-15 09:19:19] 127.0.0.1 requested img-getpocket.cdn.mozilla.net:443
[2025-05-15 09:19:20] 127.0.0.1 requested img-getpocket.cdn.mozilla.net:443
[2025-05-15 09:19:20] 127.0.0.1 requested img-getpocket.cdn.mozilla.net:443
[2025-05-15 09:19:21] 127.0.0.1 requested img-getpocket.cdn.mozilla.net:443
[2025-05-15 09:19:21] 127.0.0.1 requested img-getpocket.cdn.mozilla.net:443
[2025-05-15 09:19:22] 127.0.0.1 requested img-getpocket.cdn.mozilla.net:443
[2025-05-15 09:19:22] 127.0.0.1 requested img-getpocket.cdn.mozilla.net:443
[2025-05-15 09:19:23] 127.0.0.1 requested img-getpocket.cdn.mozilla.net:443
[2025-05-15 09:19:23] 127.0.0.1 requested img-getpocket.cdn.mozilla.net:443
